day,p5,p25,p50_median,p75,p95,mean,initial_value
1,99277.49985528809,99733.52514701008,100040.22511906708,100352.5361395656,100808.9269160651,100040.78217579603,100000.0
2,99014.62987149994,99634.12448676584,100061.98185236548,100512.19341073012,101156.12163485268,100076.17727292259,100000.0
3,98800.24867987297,99562.45703858844,100088.61129765344,100655.96337423143,101447.34816158084,100109.75619615271,100000.0
4,98651.06220295769,99519.59950796432,100123.26591181033,100780.8157027904,101704.51413851803,100150.01150622487,100000.0
5,98516.04424764664,99483.3166003903,100184.10012600555,100899.32909246106,101949.33311325328,100197.63151901324,100000.0
6,98352.19638958808,99450.39844636156,100220.93651701405,100986.29225397766,102151.429357884,100237.573140899,100000.0
7,98222.96790340451,99418.14068731491,100256.87874982119,101100.69984693908,102357.67608968822,100270.71092126939,100000.0
8,98179.2857081779,99391.32183797429,100294.15773488306,101185.18546573394,102530.88851600743,100304.86519573686,100000.0
9,98054.93856205288,99384.83482799478,100335.14569864841,101271.64363033092,102716.92961091874,100344.54048550695,100000.0
10,97988.87959740157,99395.46301819105,100370.15382481438,101365.09000224562,102863.23905759922,100386.13880963594,100000.0
11,97899.97931247638,99381.30232352114,100405.17088896426,101486.6348426282,102993.38554411569,100428.56098715746,100000.0
12,97815.13726933415,99377.89927365938,100441.26759928456,101562.45208189094,103165.80811969457,100469.67240309918,100000.0
13,97740.90244683852,99356.33131309836,100488.0078531554,101653.62733551337,103336.16091372841,100514.14893609652,100000.0
14,97659.24294707573,99360.56438395547,100526.72124026093,101721.70547267894,103506.36655183931,100555.42145840656,100000.0
15,97645.27762154146,99363.16242368954,100556.6155103753,101820.96140497,103561.13903663788,100594.60533324047,100000.0
16,97575.24777661533,99364.31299504434,100605.19561829127,101871.55532902131,103772.83799626735,100632.54236471084,100000.0
17,97516.54090289658,99361.1509353123,100629.5435370956,101945.69043234095,103903.10624033445,100672.54484200248,100000.0
18,97451.40035548521,99353.71888572419,100716.53293077792,102009.30049188407,104053.97897342453,100716.44059269036,100000.0
19,97411.14862872884,99342.7719019437,100745.38220090483,102139.94519309053,104202.07827200637,100758.39169718149,100000.0
20,97383.16931608414,99368.0786701262,100778.07540960037,102228.6461853909,104302.29014027091,100796.90619606052,100000.0
